ID,date,pressure,flow_rate,suction_pressure,discharge_pressure,rpm,vibration_rms,vibration_peak,structural_vibration,motor_current,power_draw_kw,bearing_temperature,motor_temperature,pump_casing_temperature,oil_temperature,fluid_temperature,ambient_temperature,oil_pressure,oil_level,seal_pressure,leakage_rate,runtime_hours_since_last_maintenance,days_since_last_maintenance,start_stop_count,pressure_fluctuations,flow_interruptions,acoustic_signal_level,time_until_next_maintenance
P1,2025-01-01,120.88,313.22,51.29,185.53,1846,1.028,1.718,0.637,15.79,6.89,59.59,73.89,62.48,57.0,53.88,31.78,5.09,90.5,3.85,0.0102,15.33,1,2,0.276,0,28.92,51
P1,2025-01-02,118.82,311.61,51.88,183.11,1860,1.023,1.881,0.634,15.44,6.81,60.15,75.32,63.81,56.75,54.59,32.08,5.17,90.59,3.91,0.0086,33.56,2,2,0.232,0,28.34,50
P1,2025-01-03,120.49,315.07,51.98,185.39,1846,1.067,1.854,0.682,15.72,6.94,60.89,74.51,64.3,57.64,51.91,30.4,5.18,89.8,3.94,0.0079,55.3,3,2,0.31,0,28.63,49
P1,2025-01-04,119.92,314.27,51.56,185.1,1848,1.13,1.898,0.728,15.62,6.97,60.64,73.92,64.23,56.8,54.37,33.6,5.11,89.68,3.94,0.0087,73.94,4,2,0.272,0,29.6,48
P1,2025-01-05,121.38,314.62,51.73,184.4,1846,1.159,2.199,0.663,15.92,6.96,62.23,74.66,63.68,56.75,53.54,31.69,5.07,89.37,3.97,0.009,88.38,5,2,0.392,1,29.62,47
P1,2025-01-06,118.65,313.92,52.68,186.3,1844,1.253,2.009,0.815,15.94,6.96,60.93,75.18,64.23,56.26,53.42,31.32,5.15,88.58,4.02,0.0121,105.93,6,2,0.35,0,29.51,46
P1,2025-01-07,119.79,312.65,52.92,184.22,1851,1.206,2.02,0.783,15.58,7.07,60.75,74.76,64.8,57.7,53.79,31.76,5.02,89.27,4.09,0.0114,125.89,7,2,0.313,0,29.42,45
P1,2025-01-08,119.18,313.29,52.61,184.09,1847,1.31,2.409,0.799,15.85,7.15,61.84,75.53,65.61,57.48,53.94,32.49,5.11,88.74,4.04,0.0118,144.47,8,2,0.463,0,29.63,44
P1,2025-01-09,119.77,313.67,52.84,185.0,1860,1.257,2.322,0.772,15.82,7.04,61.73,75.25,64.02,58.59,54.26,32.55,5.12,89.04,3.92,0.0076,167.77,9,2,0.379,0,30.26,43
P1,2025-01-10,119.06,315.51,53.31,183.12,1857,1.23,2.129,0.734,15.72,6.99,61.85,74.43,64.3,57.22,54.63,31.82,5.04,88.31,4.01,0.0105,190.1,10,2,0.344,0,29.52,42
